
Data Item Number,Data Item Name,Length,Source of Standard,Record Type,Section Name,XML NAACCR ID,Parent XML Element,Year Implemented,Version Implemented,Year Retired,Version Retired,NPCR Collect,CoC Collect,SEER Collect,CCCR Collect,Description,Rationale,Clarification,General Notes,Instructions for Coding,Allowable Values,Format,Data Type,Code Notes,Record Layout Table Note,Required Status Table Note,Data Descriptor Table Note,Record Layout Note,Required Status Note,Data Descriptor Note,Data Dictionary Description Note,Data Dictionary Rationale Note,Data Dictionary Code Note
3400,Derived AJCC-7 T,3,AJCC,"A,C,I,M",Stage/Prognostic Factors,derivedAjcc7T,Tumor,2010,12,,,RH*,DH,DH,DH,This item is the derived AJCC “T” staging element from coded fields using the CS algorithm. Effective for cases diagnosed 2010+.,"Derived AJCC-7 T can be used to evaluate disease spread at diagnosis, plan and track treatment patterns, and analyze outcomes.",,,"**Codes (See the most current version of the *Collaborative Stage Data Collection System* (<https://cancerstaging.org/cstage/Pages/default.aspx>),^13^ for rules and site-specific codes and coding structures.)** ",000-999,"Right justified, zero filled",digits,,,,,,,,,,
3402,Derived AJCC-7 T Descript,1,AJCC,"A,C,I,M",Stage/Prognostic Factors,derivedAjcc7TDescript,Tumor,2010,12,,,RH*,DH,DH,DH,This item is the derived AJCC “T Descriptor” from coded fields using the CS algorithm. Effective for cases diagnosed 2010+.,Derived AJCC-7 T Descript can be used in analysis to differentiate the timing of staging with respect to the treatment process.,,,"**Codes (See the most current version of the *Collaborative Stage Data Collection System* (<https://cancerstaging.org/cstage/Pages/default.aspx>),^13^ for rules and site-specific codes and coding structures.)** ","c, p, a, y, N, blank",,text,,,,,,,,,,
3410,Derived AJCC-7 N,3,AJCC,"A,C,I,M",Stage/Prognostic Factors,derivedAjcc7N,Tumor,2010,12,,,RH*,DH,DH,DH,This item is the derived AJCC “N” staging element from coded fields using the CS algorithm. Effective for cases diagnosed 2010+.,"The CS Derived AJCC-7 N can be used to evaluate disease spread at diagnosis, plan and track treatment patterns, and analyze outcomes.",,,"**Codes (See the most current version of the *Collaborative Stage Data Collection System* (<https://cancerstaging.org/cstage/Pages/default.aspx>),^13^ for rules and site-specific codes and coding structures.)** ",000-999,"Right justified, zero filled",digits,,,,,,,,,,
3412,Derived AJCC-7 N Descript,1,AJCC,"A,C,I,M",Stage/Prognostic Factors,derivedAjcc7NDescript,Tumor,2010,12,,,RH*,DH,DH,DH,This item is the derived AJCC “N Descriptor” from coded fields using the CS algorithm. Effective for cases diagnosed 2010+.,Derived AJCC-7 N Descript can be used in analysis to differentiate the timing of staging with respect to the treatment process.,,,"**Codes (See the most current version of the *Collaborative Stage Data Collection System* (<https://cancerstaging.org/cstage/Pages/default.aspx>),^13^ for rules and site-specific codes and coding structures.)** ","c, p, a, y, N, blank",,text,,,,,,,,,,
3420,Derived AJCC-7 M,3,AJCC,"A,C,I,M",Stage/Prognostic Factors,derivedAjcc7M,Tumor,2010,12,,,RH*,DH,DH,DH,This item is the derived AJCC “M” staging element from coded fields using the CS algorithm. Effective for cases diagnosed 2010+.,"Derived AJCC-7 M can be used to evaluate disease spread at diagnosis, plan and track treatment patterns, and analyze outcomes.",,,"**Codes (See the most current version of the *Collaborative Stage Data Collection System* (<https://cancerstaging.org/cstage/Pages/default.aspx>),^13^ for rules and site-specific codes and coding structures.)** ",000-999,"Right justified, zero filled",digits,,,,,,,,,,
3422,Derived AJCC-7 M Descript,1,AJCC,"A,C,I,M",Stage/Prognostic Factors,derivedAjcc7MDescript,Tumor,2010,12,,,RH*,DH,DH,DH,This item is the derived AJCC “M Descriptor” from coded fields using the CS algorithm. Effective for cases diagnosed 2010+.,Derived AJCC-7 M Descript can be used in analysis to differentiate the timing of staging with respect to the treatment process.,,,"**Codes (See the most current version of the *Collaborative Stage Data Collection System* (<https://cancerstaging.org/cstage/Pages/default.aspx>),^13^ for rules and site-specific codes and coding structures.)** ","c, p, a, y, N, blank",,text,,,,,,,,,,
3430,Derived AJCC-7 Stage Grp,3,AJCC,"A,C,I,M",Stage/Prognostic Factors,derivedAjcc7StageGrp,Tumor,2010,12,,,RH*,DH,DH,DH,This item is the derived AJCC “Stage Group” from coded fields using the CS algorithm. Effective for cases diagnosed 2010+.,"The CS Derived AJCC-7 Stage Group can be used to evaluate disease spread at diagnosis, plan and track treatment patterns, and analyze outcomes.",,,"**Codes (See the most current version of the *Collaborative Stage Data Collection System* (<https://cancerstaging.org/cstage/Pages/default.aspx>),^13^ for rules and site-specific codes and coding structures.)** ",000-999,"Right justified, zero filled",digits,,,,,,,,,,
3605,Derived SEER Path Stg Grp,5,SEER,"A,C,I,M",Stage/Prognostic Factors,derivedSeerPathStgGrp,Tumor,,,,,.,.,DH,.,This data item is needed to store the results of the derived algorithmic calculation of Derived SEER Pathologic Stage Group.,"The SEER Program is developing an algorithm to calculate clinical and pathologic stage group based on their T, N, and M components and additional information as needed to calculate stage. For example, for thyroid, additional information is needed on histology and age to calculate stage. Once the T, N, and M are known an algorithm can assign the stage group instead of a registrar having to look up the stage. There are also provisions for a separate field for directly assigned stage group if the registrar prefers entering it.",,,**Codes**,"0, 0A, 0IS, 1,1A, 1A1, 1A2, 1B, 1B1, 1B2, 1C, 1S, 2, 2A, 2A1, 2A2, 2B, 2C, 3, 3A, 3B, 3C, 3C1, 3C2, 4, 4A, 4A1, 4A2, 4B, 4C, OC, 88, 99, Blank","Upper-case alphanumeric, left justified",text,,,,,,,,,,
3610,Derived SEER Clin Stg Grp,5,SEER,"A,C,I,M",Stage/Prognostic Factors,derivedSeerClinStgGrp,Tumor,2016,16,,,.,.,DH,.,This data item is needed to store the results of the derived algorithmic calculation of Derived SEER Clinical Stage Group.,"The SEER Program is developing an algorithm to calculate clinical and pathologic stage group based on their T, N, and M components and additional information as needed to calculate stage. For example, for thyroid, additional information is needed on histology and age to calculate stage. Once the T, N, and M are known an algorithm can assign the stage group instead of a registrar having to look up the stage. There are also provisions for a separate field for directly assigned stage group if the registrar prefers entering it.",,,**Codes**,"0, 0A, 0IS, 1,1A, 1A1, 1A2, 1B, 1B1, 1B2, 1C, 1S, 2, 2A, 2A1, 2A2, 2B, 2C, 3, 3A, 3B, 3C, 3C1, 3C2, 4, 4A, 4A1, 4A2, 4B, 4C, OC, 88, 99, Blank","Upper-case alphanumeric, left justified",text,,,,,,,,,,
3614,Derived SEER Cmb Stg Grp,5,SEER,"A,C,I,M",Stage/Prognostic Factors,derivedSeerCmbStgGrp,Tumor,2016,16,,,.,.,DH,.,This data item is needed to store the results of the derived algorithmic calculation of SEER Combined Stage Group. ,"Rationale for change proposal (potential benefits of change): The SEER Program is developing an algorithm to calculate clinical and pathologic stage group based on their T, N, and M components and additional information as needed to calculate stage. For example, for thyroid, additional information is needed on histology and age to calculate stage. Once the T, N, and M are known an algorithm can assign the stage group instead of a registrar having to look up the stage. There are also provisions for a separate field for directly assigned stage group if the registrar prefers entering it.",,,**Codes**,"0, 0A, 0IS, 1,1A, 1A1, 1A2, 1B, 1B1, 1B2, 1C, 1S, 2, 2A, 2A1, 2A2, 2B, 2C, 3, 3A, 3B, 3C, 3C1, 3C2, 4, 4A, 4A1, 4A2, 4B, 4C, OC, 88, 99, Blank","Upper-case alphanumeric, Left justified",text,,,,,,,,,,
3616,Derived SEER Combined T,5,SEER,"A,C,I,M",Stage/Prognostic Factors,derivedSeerCombinedT,Tumor,,,,,.,.,DH,.,This new data item is needed to store the results of the derived algorithmic calculation of Derived SEER Combined T.,"The SEER Program has collected data from 2004 on AJCC 6th T, N, M and stage and from 2010 on AJCC 7th T, N, M and stage based on algorithmic derivation from Collaborative Stage (CS) data. These data were based on combining information from both the clinical and pathologic into a combined (or ‘best’) derived T, N, M and stage group. SEER would like to continue to be able to derive a combined T, N, M and stage group in order to evaluate time trends in cancer incidence by stage. SEER is designing an algorithm to combine the clinical and pathologic information for T, N, and M into a derived combined T, N and M and then the combined T, N, and M and additional information as needed are used to derive a combined stage.",,,**Codes (See the most recent versions of the *AJCC Cancer Staging Manual* and *STORE* manual)**,"See AJCC Cancer Staging Manual and FORDS Manual; also 88, blank","Upper-case alphanumeric, left justified, blank filled",text,,,,,,,,,,
3618,Derived SEER Combined N,5,SEER,"A,C,I,M",Stage/Prognostic Factors,derivedSeerCombinedN,Tumor,,,,,.,.,DH,.,"This item is used to store the results of the source information selected for the derived algorithmic calculation of Combined T, N, and M.","The SEER Program has collected data from 2004 on AJCC 6th T, N, M and stage and from 2010 on AJCC 7th T, N, M and stage based on algorithmic derivation from Collaborative Stage (CS) data. These data were based on combining information from both the clinical and pathologic into a combined (or ‘best’) derived T, N, M and stage group. SEER would like to continue to be able to derive a combined T, N, M and stage group in order to evaluate time trends in cancer incidence by stage. SEER is designing an algorithm to combine the clinical and pathologic information for T, N, and M into a derived combined T, N and M and then the combined T, N, and M and additional information as needed are used to derive a combined stage. These derived combined T, N, M and stage items need to be new data items.",,,**Codes (See the most recent versions of the *AJCC Cancer Staging Manual* and *STORE* manual)**,"See AJCC Cancer Staging Manual and FORDS Manual; also 88, blank","Upper-case alphanumeric, left justified, blank filled",text,,,,,,,,,,
3620,Derived SEER Combined M,5,SEER,"A,C,I,M",Stage/Prognostic Factors,derivedSeerCombinedM,Tumor,2016,16,,,.,.,DH,.,"This item is used to store the results of the source information selected for the derived algorithmic calculation of Combined T, N, and M.","The SEER Program has collected data from 2004 on AJCC 6th T, N, M and stage and from 2010 on AJCC 7th T, N, M and stage based on algorithmic derivation from Collaborative Stage (CS) data. These data were based on combining information from both the clinical and pathologic into a combined (or ‘best’) derived T, N, M and stage group. SEER would like to continue to be able to derive a combined T, N, M and stage group in order to evaluate time trends in cancer incidence by stage. SEER is designing an algorithm to combine the clinical and pathologic information for T, N, and M into a derived combined T, N and M and then the combined T, N, and M and additional information as needed are used to derive a combined stage. These derived combined T, N, M and stage items need to be new data items.",,,**Codes (See the most recent versions of the *AJCC Cancer Staging Manual* and *STORE* manual)**,"See AJCC Cancer Staging Manual and FORDS Manual; also 88, blank","Upper-case alphanumeric, left justified, blank filled",text,,,,,,,,,,
3622,Derived SEER Cmb T Src,1,SEER,"A,C,I,M",Stage/Prognostic Factors,derivedSeerCmbTSrc,Tumor,2016,16,,,.,.,DH,.,This item is needed to store the results of the source information selected for the derived algorithmic calculation of Derived SEER Combined T [3616].,,,,**Codes**,"1, 2, 3, 9",,digits,,,,,,,,,,
3624,Derived SEER Cmb N Src,1,SEER,"A,C,I,M",Stage/Prognostic Factors,derivedSeerCmbNSrc,Tumor,,,,,.,.,DH,.,This item is needed to store the results of the source information selected for the derived algorithmic calculation of Derived SEER Combined N [3618].,,,,**Codes**,"1, 2, 3, 9",,digits,,,,,,,,,,
3626,Derived SEER Cmb M Src,1,SEER,"A,C,I,M",Stage/Prognostic Factors,derivedSeerCmbMSrc,Tumor,2016,16,,,.,.,DH,.,This item is needed to store the results of the source information selected for the derived algorithmic calculation of Derived SEER Combined M \[3620\].,,,,**Codes**,"1, 2, 3, 9",,digits,,,,,,,,,,
3645,NPCR Derived AJCC 8 TNM Clin Stg Grp,15,NPCR,"A,C,I,M",Stage/Prognostic Factors,npcrDerivedAjcc8TnmClinStgGrp,Tumor,2018,18,,,.,.,.,R*,"This item stores the results of NPCR's derived algorithmic calculation of clinical stage group based on AJCC T, N, and M and relevant biomarkers and prognostic factors. The algorithm derives AJCC 8th ed. stage group for 2018, however, updates to future AJCC editions are anticipated. The derived values for 7th ed. were stored in NPCR Derived Clin Stg Grp [3650].","The purpose of the derived stage fields is to segregate data values for AJCC stage groups derived from the NPCR algorithm from values directly entered from the medical record or by the registrar. NPCR's primary interest is in the directly-entered values, but derived values will have a purpose primarily at the central registry. It is important to not mix data values from the two sources in the same data items. This item was added in 2018 because the required length to hold AJCC stage group values increased from 4 columns to 15.",,,**Codes (in addition to those published in the *AJCC Cancer Staging Manual*)**,"Codes published in the <i>AJCC Cancer Staging Manual</i>, 88, 99, Blank",Left justified,text,,,,,,,,,,
3646,NPCR Derived AJCC 8 TNM Path Stg Grp,15,NPCR,"A,C,I,M",Stage/Prognostic Factors,npcrDerivedAjcc8TnmPathStgGrp,Tumor,2018,18,,,.,.,.,R*,"This item stores the results of NPCR's derived algorithmic calculation of pathologic stage group based on AJCC T, N, and M and relevant biomarkers and prognostic factors. The algorithm derives AJCC 8th ed. stage group for 2018, however, updates to future AJCC editions are anticipated. The derived values for 7th ed. were stored in NPCR Derived Path Stg Grp [3655].","The purpose of the derived stage fields is to segregate data values for AJCC stage groups derived from the NPCR algorithm from values directly entered from the medical record or by the registrar. NPCR's primary interest is in the directly-entered values, but derived values will have a purpose primarily at the central registry. It is important to not mix data values from the two sources in the same data items. This item was added in 2018 because the required length to hold AJCC stage group values increased from 4 columns to 15.",,,**Codes (in addition to those published in the *AJCC Cancer Staging Manual*)**,"Codes published in the <i>AJCC Cancer Staging Manual</i>, 88, 99, Blank",Left justified,text,,,,,,,,,,
3647,NPCR Derived AJCC 8 TNM Post Therapy Stg Grp,15,NPCR,"A,C,I,M",Stage/Prognostic Factors,npcrDerivedAjcc8TnmPostStgGrp,Tumor,2018,18,,,.,.,.,R*,"This item stores the results of NPCR's derived algorithmic calculation of post neoadjuvant stage group based on AJCC T, N, and M and relevant biomarkers and prognostic factors. The algorithm derives AJCC 8th ed. stage group for 2018, however, updates to future AJCC editions are anticipated. NPCR did not derive post neoadjuvant stage group for 7th ed.","The purpose of the derived stage fields is to segregate data values for AJCC stage groups derived from the NPCR algorithm from values directly entered from the medical record or by the registrar. NPCR's primary interest is in the directly-entered values, but derived values will have a purpose primarily at the central registry. It is important to not mix data values from the two sources in the same data items.   
  
NPCR does not collect post neoadjuvant stage information, but the NPCR derivation algorithm supports collection by CoC accredited facilities and other registries.",,,**Codes**,"Codes published in the <i>AJCC Cancer Staging Manual</i>, 88, 99, Blank",Left justified,text,**Codes (in addition to those published in the *AJCC Cancer Staging Manual*)** ,,,,,,,,,
3700,SEER Site-Specific Fact 1,2,SEER,"A,C,I,M",Stage/Prognostic Factors,seerSiteSpecificFact1,Tumor,2010,12,,,.,.,R,.,A two character field to be used when information for a particular primary site needs to be collected by SEER.,This field is a place holder when site-specific information is needed for SEER.,,,"**Codes (To be determined for each site where needed. Refer to the most current version of the** [_**SEER Program Coding and Staging**_ _**Manual**_](http://seer.cancer.gov/tools/codingmanuals/)_,_ for details.)\*\*","10, 11, 20, 21, 30, 31, 40, 41, 50, 51, 70, 71, 97, 99, Blank",,numeric,"**Note 1:** There is evidence that human papilloma virus (HPV) plays a role in the pathogenesis of some cancers. HPV testing may be performed for prognostic purposes; testing may also be performed on metastatic sites to aid in determination of the primary site.

**Note 2:** Record the results of any HPV testing performed on pathological specimens including surgical and cytological (from cell blocks) tissue from the primary tumor or a metastatic site, including lymph nodes. Do not record the results of blood tests or serology.

**Note 3:** There are several methods for determination of HPV status. The most frequently used test is IHC for p16 expression which is surrogate marker for HPV infection. The rest of the tests (based on ISH, PCR, RT-PCR technologies) detect the viral DNA or RNA. 

**Note 4:** HPV-type 16 refers to virus type and is different from p16 overexpression (p16+).

**Note 5:** Codes 10-51 are hierarchical; use the highest code that applies.

**Note 6:** For cases in the Oropharynx HPV-Mediated p16+ schema.

*   If an additional HPV test is done in addition to p16, code those test results in this data item.
*   If no additional HPV test is done, code 11 in this data item (Schema Discriminator 2 coded to 2).

**Note 7:** For cases in the Oropharynx (p16-) schema.

*   If an additional HPV test is done in addition to p16, code those test results in this data item.
*   If no additional HPV test is done.
    *   Code 10 in this data item if Shema Discriminator 2 is coded to 1.
    *   Code 99 in this data item if Schema Discriminator 2 is coded to 9.",,,,,,,,,
3702,SEER Site-Specific Fact 2,1,SEER,"A,C,I,M",Stage/Prognostic Factors,seerSiteSpecificFact2,Tumor,2010,12,,,.,.,.,.,A one character field to be used when information for a particular primary site needs to be collected by SEER.,This field is a place holder when site-specific information is needed for SEER.,,,"**Codes**  **(To be determined for each site where needed. Refer to the most current version of the[*SEER Program Coding and Staging* ***Manual***](http://seer.cancer.gov/tools/codingmanuals/)***,*^3^**for details.)**","0-9, blank",,digits,,,,,,,,,,
3704,SEER Site-Specific Fact 3,1,SEER,"A,C,I,M",Stage/Prognostic Factors,seerSiteSpecificFact3,Tumor,2010,12,,,.,.,.,.,A one character field to be used when information for a particular primary site needs to be collected by SEER.,This field is a place holder when site-specific information is needed for SEER.,,,"**Codes**  **(To be determined for each site where needed. Refer to the most current version of the[*SEER Program Coding and Staging* ***Manual***](http://seer.cancer.gov/tools/codingmanuals/)***,*^3^**for details.)**","0-9, blank",,digits,,,,,,,,,,
980,TNM Clin Descriptor,1,CoC,"A,C,I,M",Stage/Prognostic Factors,tnmClinDescriptor,Tumor,,,,,.,RH,RH,.,"Identifies the AJCC clinical stage (prefix/suffix) descriptor as recorded by the physician. AJCC stage descriptors identify special cases that need separate data analysis. The descriptors are adjuncts to and do not change the stage group.

Pathologic and clinical stage data are given three separate areas in the NAACCR Data Exchange Record Layout. CoC defines a descriptor and “Staged By” item for each of these three areas.","CoC requires that AJCC TNM staging be used in its approved cancer programs. AJCC developed its staging system for evaluating trends in the treatment and control of cancer. This staging is used by physicians to estimate prognosis, to plan treatment, to evaluate new types of therapy, to analyze outcome, to design follow-up strategies, and to assess early detection results.",,,**Codes**,"0-3, 5, 9, blank",,digits,,,,,,,,,,
990,TNM Clin Staged By,2,CoC,"A,C,I,M",Stage/Prognostic Factors,tnmClinStagedBy,Tumor,,,,,.,RH,RH,.,Identifies the person who recorded the clinical AJCC staging elements and the stage group in the patient’s medical record.,Data captured in this field can be used to evaluate the source of clinical staging and form the basis for quality management and improvement studies. This item can be used to monitor application of the CoC Staging Standard.,,,**Codes (Refer to the most recent version of *STORE* for additional coding instructions)** ,"00, 10-15, 20, 30, 40, 50, 60, 88, 99 ",,digits,,,,,,,,,,
995,AJCC ID,4,NAACCR,"A,C,I,M",Stage/Prognostic Factors,ajccId,Tumor,2018,18,,,D,D,D,R*,"The values for this data item are based on the chapters of the AJCC manual and will be derived primarily from the site/histology fields and other data items as required. IDs are assigned to cases for which AJCC staging is applicable. When staging is not applicable, code ‘XX’ is used.",This data item will be used to create an efficient process for running TNM Edits.,,,,,,text,"Each Site-Specific Data Item (SSDI) applies only to selected primary sites, histologies, and years of diagnosis. Depending on applicability and standard-setter requirements, SSDIs may be left blank.",,,,,,,,,
1001,AJCC TNM Clin T,15,AJCC,"A,C,I,M",Stage/Prognostic Factors,ajccTnmClinT,Tumor,2018,18,,,.,R,RC,R*,Detailed site-specific codes for the clinical tumor (T) as defined by the current AJCC edition.,"CoC requires that AJCC TNM staging be used in its approved cancer programs. AJCC developed its staging system for evaluating trends in the treatment and control of cancer. This staging is used by physicians to estimate prognosis, to plan treatment, to evaluate new types of therapy, to analyze outcome, to design follow-up strategies, and to assess early detection results.",,,**Codes (in addition to those published in the AJCC Cancer Staging Manual)**,"See the AJCC Cancer Staging Manual for valid codes; also 88, Blank",Left justified,text,"*Note*: See the AJCC Cancer Staging Manual, 8th edition for site-specific categories for the TNM elements and stage groups. See the CURRENT *STORE* manual for specifications for codes and data entry rules.",,,,,,,,,
1002,AJCC TNM Clin N,15,AJCC,"A,C,I,M",Stage/Prognostic Factors,ajccTnmClinN,Tumor,2018,18,,,.,R,RC,R*,Detailed site-specific codes for the clinical nodes (N) as defined by the current AJCC edition.,"CoC requires that AJCC TNM staging be used in its approved cancer programs. AJCC developed its staging system for evaluating trends in the treatment and control of cancer. This staging is used by physicians to estimate prognosis, to plan treatment, to evaluate new types of therapy, to analyze outcome, to design follow-up strategies, and to assess early detection results.",,,**Codes (in addition to those published in the AJCC Cancer Staging Manual)**,"See the AJCC Cancer Staging Manual for valid codes; also 88, Blank",Left justified,text,"*Note*: See the AJCC Cancer Staging Manual, 8th edition for site-specific categories for the TNM elements and stage groups. See the CURRENT *STORE* manual for specifications for codes and data entry rules.",,,,,,,,,
1003,AJCC TNM Clin M,15,AJCC,"A,C,I,M",Stage/Prognostic Factors,ajccTnmClinM,Tumor,2018,18,,,.,R,RC,R*,Detailed site-specific codes for the clinical metastases (M) as defined by the current AJCC edition.,"CoC requires that AJCC TNM staging be used in its approved cancer programs. AJCC developed its staging system for evaluating trends in the treatment and control of cancer. This staging is used by physicians to estimate prognosis, to plan treatment, to evaluate new types of therapy, to analyze outcome, to design follow-up strategies, and to assess early detection results.",,,**Codes (in addition to those published in the AJCC Cancer Staging Manual)**,"See the AJCC Cancer Staging Manual for valid codes; also 88, Blank",Left justified,text,"*Note*: See the AJCC Cancer Staging Manual, 8th edition for site-specific categories for the TNM elements and stage groups. See the CURRENT *STORE* manual for specifications for codes and data entry rules.",,,,,,,,,
1004,AJCC TNM Clin Stage Group,15,AJCC,"A,C,I,M",Stage/Prognostic Factors,ajccTnmClinStageGroup,Tumor,2018,18,,,.,R,RC,R*,Detailed site-specific codes for the clinical stage group as defined by the current AJCC edition.,"CoC requires that AJCC TNM staging be used in its approved cancer programs. AJCC developed its staging system for evaluating trends in the treatment and control of cancer. This staging is used by physicians to estimate prognosis, to plan treatment, to evaluate new types of therapy, to analyze outcome, to design follow-up strategies, and to assess early detection results.",,,**Codes (in addition to those published in the AJCC Cancer Staging Manual)**,"See the AJCC Cancer Staging Manual for valid codes; also 88, 99",Left justified,text,"*Note*: See the AJCC Cancer Staging Manual, 8th edition for site-specific categories for the TNM elements and stage groups. See the CURRENT *STORE* manual for specifications for codes and data entry rules.",,,,,,,,,
1011,AJCC TNM Path T,15,AJCC,"A,C,I,M",Stage/Prognostic Factors,ajccTnmPathT,Tumor,2018,18,,,.,R,RC,R*,Detailed site-specific codes for the pathologic tumor (T) as defined by the current AJCC edition.,"CoC requires that AJCC TNM staging be used in its approved cancer programs. AJCC developed its staging system for evaluating trends in the treatment and control of cancer. This staging is used by physicians to estimate prognosis, to plan treatment, to evaluate new types of therapy, to analyze outcome, to design follow-up strategies, and to assess early detection results.",,,**Codes (in addition to those published in the AJCC Cancer Staging Manual)**,"See the AJCC Cancer Staging Manual for valid codes; also 88, Blank",Left justified,text,"*Note*: See the AJCC Cancer Staging Manual, 8th edition for site-specific categories for the TNM elements and stage groups. See the CURRENT *STORE* manual for specifications for codes and data entry rules.",,,,,,,,,
1012,AJCC TNM Path N,15,AJCC,"A,C,I,M",Stage/Prognostic Factors,ajccTnmPathN,Tumor,2018,18,,,.,R,RC,R*,Detailed site-specific codes for the pathologic nodes (N) as defined by the current AJCC edition.,"CoC requires that AJCC TNM staging be used in its approved cancer programs. AJCC developed its staging system for evaluating trends in the treatment and control of cancer. This staging is used by physicians to estimate prognosis, to plan treatment, to evaluate new types of therapy, to analyze outcome, to design follow-up strategies, and to assess early detection results.",,,**Codes (in addition to those published in the AJCC Cancer Staging Manual)**,"See the AJCC Cancer Staging Manual for valid codes; also 88, Blank",Left justified,text,"*Note*: See the AJCC Cancer Staging Manual, 8th edition for site-specific categories for the TNM elements and stage groups. See the CURRENT *STORE* manual for specifications for codes and data entry rules.",,,,,,,,,
1013,AJCC TNM Path M,15,AJCC,"A,C,I,M",Stage/Prognostic Factors,ajccTnmPathM,Tumor,2018,18,,,.,R,RC,R*,Detailed site-specific codes for the clinical path (M) as defined by the current AJCC edition.,"CoC requires that AJCC TNM staging be used in its approved cancer programs. AJCC developed its staging system for evaluating trends in the treatment and control of cancer. This staging is used by physicians to estimate prognosis, to plan treatment, to evaluate new types of therapy, to analyze outcome, to design follow-up strategies, and to assess early detection results.",,,**Codes (in addition to those published in the AJCC Cancer Staging Manual)**,"See the AJCC Cancer Staging Manual for valid codes; also 88, Blank",Left justified,text,"*Note*: See the AJCC Cancer Staging Manual, 8th edition for site-specific categories for the TNM elements and stage groups. See the CURRENT *STORE* manual for specifications for codes and data entry rules.",,,,,,,,,
1014,AJCC TNM Path Stage Group,15,AJCC,"A,C,I,M",Stage/Prognostic Factors,ajccTnmPathStageGroup,Tumor,2018,18,,,.,R,RC,R*,Detailed site-specific codes for the pathologic stage group as defined by the current AJCC edition.,"CoC requires that AJCC TNM staging be used in its approved cancer programs. AJCC developed its staging system for evaluating trends in the treatment and control of cancer. This staging is used by physicians to estimate prognosis, to plan treatment, to evaluate new types of therapy, to analyze outcome, to design follow-up strategies, and to assess early detection results.",,,**Codes (in addition to those published in the AJCC Cancer Staging Manual)**,"See the AJCC Cancer Staging Manual for valid codes; also 88, 99",Left justified,text,"*Note*: See the AJCC Cancer Staging Manual, 8th edition for site-specific categories for the TNM elements and stage groups. See the CURRENT *STORE* manual for specifications for codes and data entry rules.",,,,,,,,,
1021,AJCC TNM Post Therapy Path (yp) T,15,AJCC,"A,C,I,M",Stage/Prognostic Factors,ajccTnmPostTherapyT,Tumor,2018,18,,,.,R,RC,R*,"Detailed site-specific codes for the postneoadjuvant therapy Path tumor (T) as defined by AJCC.  
  
Clinical, pathological, and post therapy yc and yp stage data are given four separate areas in the NAACCR Data Exchange Record Layout.","CoC requires that AJCC TNM staging be used in its approved cancer programs. AJCC developed its staging system for evaluating trends in the treatment and control of cancer. This staging is used by physicians to estimate prognosis, to plan treatment, to evaluate new types of therapy, to analyze outcome, to design follow-up strategies, and to assess early detection results.  
  
Evaluates the primary tumor (T) and reflects the tumor size and/or extension of the tumor known following the completion of neoadjuvant therapy (satisfying the definition for that disease site) and planned postneoadjuvant therapy surgical resection.",,,**Codes (in addition to those published in the AJCC Cancer Staging Manual)**,"See the AJCC Cancer Staging Manual for valid codes; also 88, Blank",Left justified,text,"*Note*: See the AJCC Cancer Staging Manual, current edition for site-specific categories for the TNM categories and stage groups. See the CURRENT *STORE* manual for specifications for codes and data entry rules.",,,,,,,,,
1022,AJCC TNM Post Therapy Path (yp) N,15,AJCC,"A,C,I,M",Stage/Prognostic Factors,ajccTnmPostTherapyN,Tumor,2018,18,,,.,R,RC,R*,"Detailed site-specific codes for the postneoadjuvant therapy Path nodes (N) as defined by AJCC.  
  
Clinical, pathological, and post therapy yc and yp stage data are given four separate areas in the NAACCR Data Exchange Record Layout..","CoC requires that AJCC TNM staging be used in its approved cancer programs. AJCC developed its staging system for evaluating trends in the treatment and control of cancer. This staging is used by physicians to estimate prognosis, to plan treatment, to evaluate new types of therapy, to analyze outcome, to design follow-up strategies, and to assess early detection results.  
  
Identifies the absence or presence of regional lymph node (N) metastasis and describes the extent of lymph node metastasis of the tumor known known following the completion of neoadjuvant therapy (satisfying the definition for that disease site) and planned postneoadjuvant therapy surgical resection.",,,**Codes (in addition to those published in the AJCC Cancer Staging Manual)**,"See the AJCC Cancer Staging Manual for valid codes; also 88, Blank",Left justified,text,"*Note*: See the AJCC Cancer Staging Manual, current edition for site-specific categories for the TNM categories and stage groups. See the CURRENT *STORE* manual for specifications for codes and data entry rules.",,,,,,,,,
1023,AJCC TNM Post Therapy Path (yp) M,15,AJCC,"A,C,I,M",Stage/Prognostic Factors,ajccTnmPostTherapyM,Tumor,2018,18,,,.,R,RC,R*,"Detailed site-specific codes for the postneoadjuvant therapy category metastases (M) as defined by AJCC.  
  
Clinical, pathological, and post therapy yc and yp stage data are given four separate areas in the NAACCR Data Exchange Record Layout.","CoC requires that AJCC TNM staging be used in its approved cancer programs. AJCC developed its staging system for evaluating trends in the treatment and control of cancer. This staging is used by physicians to estimate prognosis, to plan treatment, to evaluate new types of therapy, to analyze outcome, to design follow-up strategies, and to assess early detection results.  
  
M category for postneoadjuvant therapy staging remains the same as that assigned in the clinical stage before initiation of neoadjuvant therapy, cM or pM.",,,**Codes (in addition to those published in the AJCC Cancer Staging Manual)**,"See the AJCC Cancer Staging Manual for valid codes; also 88, Blank",Left justified,text,"*Note*: See the AJCC Cancer Staging Manual, current edition for site-specific categories for the TNM categories and stage groups. See the CURRENT *STORE* manual for specifications for codes and data entry rules.",,,,,,,,,
