Id,ParentId,Level,Code,Sequence,CodeText,Component,Property,Timing,System,Scale,Method
179983341,31205356,2,78317-5,2378,Gastroenterology Procedure note,Procedure note,Find,Pt,{Setting},Doc,Gastroenterology
180032437,31205356,2,83577-7,2379,Gastroenterology Nurse Procedure note,Procedure note,Find,Pt,{Setting},Doc,Gastroenterology.nurse
179983386,31205356,2,78320-9,2380,General medicine Procedure note,Procedure note,Find,Pt,{Setting},Doc,General medicine
180021749,31205356,2,82355-9,2381,Geri med Procedure note,Procedure note,Find,Pt,{Setting},Doc,Geriatric medicine
180093399,31205356,2,89803-1,2382,Gyn Onc Procedure note,Procedure note,Find,Pt,{Setting},Doc,Gynecologic oncology
180087800,31205356,2,89223-2,2383,Gynecology Procedure note,Procedure note,Find,Pt,{Setting},Doc,Gynecology
179340318,31205356,2,101896-9,2384,HF+TC Procedure note,Procedure note,Find,Pt,{Setting},Doc,Heart failure+Transplant cardiology
179983365,31205356,2,78319-1,2385,Hematology Procedure note,Procedure note,Find,Pt,{Setting},Doc,Hematology
180040746,31205356,2,84147-8,2386,HemOnc Procedure note,Procedure note,Find,Pt,{Setting},Doc,Hematology+Medical oncology
180040926,31205356,2,84158-5,2387,Hepatology Procedure note,Procedure note,Find,Pt,{Setting},Doc,Hepatology
179332646,31205356,2,101045-3,2388,Hospitalist Procedure note,Procedure note,Find,Pt,{Setting},Doc,Hospitalist
180145038,31205356,2,95750-6,2389,Immunology Procedure note,Procedure note,Find,Pt,{Setting},Doc,Immunology
179983363,31205356,2,78318-3,2390,Infectious disease Procedure note,Procedure note,Find,Pt,{Setting},Doc,Infectious disease
179332597,31205356,2,101040-4,2391,Integrative medicine Procedure note,Procedure note,Find,Pt,{Setting},Doc,Integrative medicine
180049051,31205356,2,85236-8,2392,Internal Med Procedure note,Procedure note,Find,Pt,{Setting},Doc,Internal medicine
180163364,31205356,2,97692-8,2393,IC Procedure note,Procedure note,Find,Pt,{Setting},Doc,Interventional cardiology
179955903,31205356,2,75238-6,2394,IR Procedure note,Procedure note,Find,Pt,{Setting},Doc,Interventional radiology
179340343,31205356,2,101897-7,2395,Kinesiotherapy Procedure note,Procedure note,Find,Pt,{Setting},Doc,Kinesiotherapy
180095074,31205356,2,89951-8,2396,Mat fetal med Procedure note,Procedure note,Find,Pt,{Setting},Doc,Maternal and fetal medicine
180132130,31205356,2,94320-9,2397,MAiD Procedure note,Procedure note,Find,Pt,{Setting},Doc,Medical aid in dying
180048963,31205356,2,85230-1,2398,Med Gen Nurse Procedure note,Procedure note,Find,Pt,{Setting},Doc,Medical genetics.nurse
179984857,31205356,2,78472-8,2399,Mental health Procedure note,Procedure note,Find,Pt,{Setting},Doc,Mental health
180163541,31205356,2,97706-6,2400,Multi-spec prog Procedure note,Procedure note,Find,Pt,{Setting},Doc,Multi-specialty program
179984872,31205356,2,78473-6,2401,Neo peri med Procedure note,Procedure note,Find,Pt,{Setting},Doc,Neonatal perinatal medicine
179984882,31205356,2,78474-4,2402,Nephrology Procedure note,Procedure note,Find,Pt,{Setting},Doc,Nephrology
179897726,31205356,2,68692-3,2403,Neuro surgery Procedure note,Procedure note,Find,Pt,{Setting},Doc,Neurological surgery
179984896,31205356,2,78475-1,2404,Neurology Procedure note,Procedure note,Find,Pt,{Setting},Doc,Neurology
179897862,31205356,2,68702-0,2405,Child neuro Procedure note,Procedure note,Find,Pt,{Setting},Doc,Neurology w special qualifications in child neuro
180163617,31205356,2,97712-4,2406,Neuropsych Procedure note,Procedure note,Find,Pt,{Setting},Doc,Neuropsychology
180098643,31205356,2,90350-0,2407,Nuc Medicine Procedure note,Procedure note,Find,Pt,{Setting},Doc,Nuclear medicine
179957807,31205356,2,75455-6,2408,Nurse Procedure note,Procedure note,Find,Pt,{Setting},Doc,Nurse
179984905,31205356,2,78476-9,2409,Nurse pract Procedure note,Procedure note,Find,Pt,{Setting},Doc,Nurse practitioner
179985142,31205356,2,78494-2,2410,Nutr+diet Procedure note,Procedure note,Find,Pt,{Setting},Doc,Nutrition and dietetics
180087909,31205356,2,89232-3,2411,OB Procedure note,Procedure note,Find,Pt,{Setting},Doc,Obstetrics
179896182,31205356,2,68563-6,2412,OBGYN Procedure note,Procedure note,Find,Pt,{Setting},Doc,Obstetrics and Gynecology
180178693,31205356,2,99484-8,2413,OB Midwife Procedure note,Procedure note,Find,Pt,{Setting},Doc,Obstetrics.midwife
180043774,31205356,2,84391-2,2414,Occup med Procedure note,Procedure note,Find,Pt,{Setting},Doc,Occupational medicine
179984926,31205356,2,78477-7,2415,OT Procedure note,Procedure note,Find,Pt,{Setting},Doc,Occupational therapy
179984940,31205356,2,78478-5,2416,Oncology Procedure note,Procedure note,Find,Pt,{Setting},Doc,Oncology
179986901,31205356,2,78657-4,2417,Ophthalmol Procedure note,Procedure note,Find,Pt,{Setting},Doc,Ophthalmology
179986957,31205356,2,78661-6,2418,Optometry Procedure note,Procedure note,Find,Pt,{Setting},Doc,Optometry
180043613,31205356,2,84379-7,2419,OMS Procedure note,Procedure note,Find,Pt,{Setting},Doc,Oral and maxillofacial surgery
180043543,31205356,2,84374-8,2420,Orthopaedic surgery Procedure note,Procedure note,Find,Pt,{Setting},Doc,Orthopaedic surgery
179332531,31205356,2,101035-4,2421,Osteopathic med Procedure note,Procedure note,Find,Pt,{Setting},Doc,Osteopathic medicine
179986872,31205356,2,78655-8,2422,Otolaryngology Procedure note,Procedure note,Find,Pt,{Setting},Doc,Otolaryngology
179897986,31205356,2,68714-5,2423,Pain medicine Procedure note,Procedure note,Find,Pt,{Setting},Doc,Pain medicine
180021776,31205356,2,82357-5,2424,Palliative care Procedure note,Procedure note,Find,Pt,{Setting},Doc,Palliative care
179581128,31205356,2,34122-2,2425,Pathology Procedure note,Procedure note,Find,Pt,{Setting},Doc,Pathology
179898103,31205356,2,68724-4,2426,Peds cardiology Procedure note,Procedure note,Find,Pt,{Setting},Doc,Pediatric cardiology
179900040,31205356,2,68890-3,2427,Peds dermatology Procedure note,Procedure note,Find,Pt,{Setting},Doc,Pediatric dermatology
179900104,31205356,2,68895-2,2428,Peds endocrinology Procedure note,Procedure note,Find,Pt,{Setting},Doc,Pediatric endocrinology
179898333,31205356,2,68743-4,2429,Peds gastroenterology Procedure note,Procedure note,Find,Pt,{Setting},Doc,Pediatric gastroenterology
179898461,31205356,2,68754-1,2430,Peds hem-onc Procedure note,Procedure note,Find,Pt,{Setting},Doc,Pediatric hematology-oncology
179899778,31205356,2,68868-9,2431,Peds nephrology Procedure note,Procedure note,Find,Pt,{Setting},Doc,Pediatric nephrology
179899826,31205356,2,68872-1,2432,Peds otolaryngology Procedure note,Procedure note,Find,Pt,{Setting},Doc,Pediatric otolaryngology
179898805,31205356,2,68784-8,2433,Peds pulmonology Procedure note,Procedure note,Find,Pt,{Setting},Doc,Pediatric pulmonology
179899900,31205356,2,68877-0,2434,Peds rheumatology Procedure note,Procedure note,Find,Pt,{Setting},Doc,Pediatric rheumatology
179898972,31205356,2,68799-6,2435,Peds surgery Procedure note,Procedure note,Find,Pt,{Setting},Doc,Pediatric surgery
179899686,31205356,2,68861-4,2436,Peds transpl hepato Procedure note,Procedure note,Find,Pt,{Setting},Doc,Pediatric transplant hepatology
179899095,31205356,2,68809-3,2437,Peds urology Procedure note,Procedure note,Find,Pt,{Setting},Doc,Pediatric urology
179899223,31205356,2,68820-0,2438,Peds Procedure note,Procedure note,Find,Pt,{Setting},Doc,Pediatrics
180035045,31205356,2,83728-6,2439,PM+R Procedure note,Procedure note,Find,Pt,{Setting},Doc,Physical medicine and rehab
179986966,31205356,2,78662-4,2440,PT Procedure note,Procedure note,Find,Pt,{Setting},Doc,Physical therapy
179368846,31205356,2,11505-5,2441,MD Procedure note,Procedure note,Find,Pt,{Setting},Doc,Physician
180036983,31205356,2,83854-0,2442,Plastic surgery Procedure note,Procedure note,Find,Pt,{Setting},Doc,Plastic surgery
179530176,31205356,2,28625-2,2443,Podiatry Procedure note,Procedure note,Find,Pt,{Setting},Doc,Podiatry
179899394,31205356,2,68836-6,2444,Primary care Procedure note,Procedure note,Find,Pt,{Setting},Doc,Primary care
180037459,31205356,2,83891-2,2445,Psychiatric Procedure note,Procedure note,Find,Pt,{Setting},Doc,Psychiatry
180080071,31205356,2,88347-0,2446,Psychiatry Nurse Procedure note,Procedure note,Find,Pt,{Setting},Doc,Psychiatry.nurse
180093516,31205356,2,89812-2,2447,Psych Procedure note,Procedure note,Find,Pt,{Setting},Doc,Psychology
180007618,31205356,2,80798-2,2448,Pulmonary disease Procedure note,Procedure note,Find,Pt,{Setting},Doc,Pulmonary disease
180036165,31205356,2,83789-8,2449,Pulmonary Attend Procedure note,Procedure note,Find,Pt,{Setting},Doc,Pulmonary disease.attending
180033488,31205356,2,83640-3,2450,Pulmonary Nurse Procedure note,Procedure note,Find,Pt,{Setting},Doc,Pulmonary disease.nurse
179986886,31205356,2,78656-6,2451,Radiation Onc Procedure note,Procedure note,Find,Pt,{Setting},Doc,Radiation oncology
180049402,31205356,2,85261-6,2452,Radiology Procedure note,Procedure note,Find,Pt,{Setting},Doc,Radiology
180049400,31205356,2,85260-8,2453,Radiology Nurse Procedure note,Procedure note,Find,Pt,{Setting},Doc,Radiology.nurse
180093546,31205356,2,89814-8,2454,Rapid response team Procedure note,Procedure note,Find,Pt,{Setting},Doc,Rapid response team
180178791,31205356,2,99491-3,2455,Rec therapy Procedure note,Procedure note,Find,Pt,{Setting},Doc,Recreational therapy
180021903,31205356,2,82366-6,2456,REI Procedure note,Procedure note,Find,Pt,{Setting},Doc,Reproductive endocrinology and infertility
180038067,31205356,2,83938-1,2457,Research Procedure note,Procedure note,Find,Pt,{Setting},Doc,Research
179986914,31205356,2,78658-2,2458,Resp therapy Procedure note,Procedure note,Find,Pt,{Setting},Doc,Respiratory therapy
179986943,31205356,2,78660-8,2459,Rheumatology Procedure note,Procedure note,Find,Pt,{Setting},Doc,Rheumatology
180163875,31205356,2,97727-2,2460,Sleep med Procedure note,Procedure note,Find,Pt,{Setting},Doc,Sleep medicine
180163552,31205356,2,97707-4,2461,Solid Org Transplant Procedure note,Procedure note,Find,Pt,{Setting},Doc,Solid organ transplant
179986862,31205356,2,78654-1,2462,Speech-lang path Procedure note,Procedure note,Find,Pt,{Setting},Doc,Speech-language pathology
180038888,31205356,2,84006-6,2463,SCIM Procedure note,Procedure note,Find,Pt,{Setting},Doc,Spinal cord injury medicine
179992630,31205356,2,79267-1,2464,Sports medicine Procedure note,Procedure note,Find,Pt,{Setting},Doc,Sports medicine
179983412,31205356,2,78322-5,2465,Surgery Procedure note,Procedure note,Find,Pt,{Setting},Doc,Surgery
180163681,31205356,2,97716-5,2466,Hand Surgery Procedure note,Procedure note,Find,Pt,{Setting},Doc,Surgery of the hand
180033121,31205356,2,83617-1,2467,Surgery Nurse Procedure note,Procedure note,Find,Pt,{Setting},Doc,Surgery.nurse
180055165,31205356,2,85854-8,2468,Cardiothor surg Procedure note,Procedure note,Find,Pt,{Setting},Doc,Thoracic and cardiac surgery
180102988,31205356,2,90877-2,2469,Thromboemb Procedure note,Procedure note,Find,Pt,{Setting},Doc,Thromboembolism
179899566,31205356,2,68851-5,2470,Transpl surg Procedure note,Procedure note,Find,Pt,{Setting},Doc,Transplant surgery
180093588,31205356,2,89817-1,2471,Trauma Procedure note,Procedure note,Find,Pt,{Setting},Doc,Trauma
179986933,31205356,2,78659-0,2472,Urology Procedure note,Procedure note,Find,Pt,{Setting},Doc,Urology
180032829,31205356,2,83599-1,2473,Urology Nurse Procedure note,Procedure note,Find,Pt,{Setting},Doc,Urology.nurse
180006252,31205356,2,80669-5,2474,Vasc Neuro Procedure note,Procedure note,Find,Pt,{Setting},Doc,Vascular neurology
180039445,31205356,2,84053-8,2475,Vascular surgery Procedure note,Procedure note,Find,Pt,{Setting},Doc,Vascular surgery
180055188,31205356,2,85857-1,2476,Wmns hlth Procedure note,Procedure note,Find,Pt,{Setting},Doc,Womens health
180150675,31205356,2,96353-8,2477,Wound care management Procedure note,Procedure note,Find,Pt,{Setting},Doc,Wound care management
180150426,31205356,2,96333-0,2478,Cust care fac Procedure note,Procedure note,Find,Pt,Custodial care facility,Doc,{Role}
179983339,31205356,2,78316-7,2479,ED Procedure note,Procedure note,Find,Pt,Emergency department,Doc,{Role}
180163062,31205356,2,97668-8,2480,Emergency med ED Procedure note,Procedure note,Find,Pt,Emergency department,Doc,Emergency medicine
179898168,31205356,2,68729-3,2481,Peds crit care med Hosp Procedure note,Procedure note,Find,Pt,Hospital,Doc,Pediatric critical care medicine
179899316,31205356,2,68829-1,2482,Peds Hosp Procedure note,Procedure note,Find,Pt,Hospital,Doc,Pediatrics
180031613,31205356,2,83525-6,2483,Cardiology ICU Procedure note,Procedure note,Find,Pt,Intensive care unit,Doc,Cardiovascular disease
180049139,31205356,2,85242-6,2484,Internal Med ICU Procedure note,Procedure note,Find,Pt,Intensive care unit,Doc,Internal medicine
180038994,31205356,2,84015-7,2485,Surgery ICU Procedure note,Procedure note,Find,Pt,Intensive care unit,Doc,Surgery
180039768,31205356,2,84081-9,2486,Dermatology OP Procedure note,Procedure note,Find,Pt,Outpatient,Doc,Dermatology
180043994,31205356,2,84408-4,2487,Ophthalmol OP Procedure note,Procedure note,Find,Pt,Outpatient,Doc,Ophthalmology
180043565,31205356,2,84375-5,2488,Orthopaedic surgery OP Procedure note,Procedure note,Find,Pt,Outpatient,Doc,Orthopaedic surgery
180033654,31205356,2,83651-0,2489,Pain medicine OP Procedure note,Procedure note,Find,Pt,Outpatient,Doc,Pain medicine
180039061,31205356,2,84021-5,2490,Surgery OP Procedure note,Procedure note,Find,Pt,Outpatient,Doc,Surgery
180033094,31205356,2,83616-3,2491,Surgery Nurse OP Procedure note,Procedure note,Find,Pt,Outpatient,Doc,Surgery.nurse
180039318,31205356,2,84044-7,2492,Urology OP Procedure note,Procedure note,Find,Pt,Outpatient,Doc,Urology
180150648,31205356,2,96351-2,2493,Urgent care Procedure note,Procedure note,Find,Pt,Urgent care center,Doc,{Role}
179368849,31205356,2,11506-3,2494,Prog note,Progress note,Find,Pt,{Setting},Doc,{Role}
180127985,31205356,2,93892-8,2495,Addiction med Prog note,Progress note,Find,Pt,{Setting},Doc,Addiction medicine
179896808,31205356,2,68617-0,2496,Adolescent med Prog note,Progress note,Find,Pt,{Setting},Doc,Adolescent medicine
179332577,31205356,2,101039-6,2497,Aerospace med Prog note,Progress note,Find,Pt,{Setting},Doc,Aerospace medicine
180145125,31205356,2,95757-1,2498,Allergy Prog note,Progress note,Find,Pt,{Setting},Doc,Allergy
179897011,31205356,2,68631-1,2499,Allergy+Immunology Prog note,Progress note,Find,Pt,{Setting},Doc,Allergy+Immunology
180093503,31205356,2,89811-4,2500,Anesthesiology Prog note,Progress note,Find,Pt,{Setting},Doc,Anesthesiology
179438189,31205356,2,18733-6,2501,Attend Prog note,Progress note,Find,Pt,{Setting},Doc,Attending
179974883,31205356,2,77426-5,2502,Audiology Prog note,Progress note,Find,Pt,{Setting},Doc,Audiology
180052098,31205356,2,85515-5,2503,Bariatric surg Prog note,Progress note,Find,Pt,{Setting},Doc,Bariatric surgery
180093287,31205356,2,89795-9,2504,Bld Bnk+Trans Med Prog note,Progress note,Find,Pt,{Setting},Doc,Blood banking and transfusion medicine
180133571,31205356,2,94468-6,2505,BM Transplant Prog note,Progress note,Find,Pt,{Setting},Doc,Bone marrow transplant
180145562,31205356,2,95802-5,2506,Breastfeeding Prog note,Progress note,Find,Pt,{Setting},Doc,Breastfeeding
180095745,31205356,2,90014-2,2507,Burn Prog note,Progress note,Find,Pt,{Setting},Doc,Burn management
180162027,31205356,2,97571-4,2508,Cardiac surgery Prog note,Progress note,Find,Pt,{Setting},Doc,Cardiac surgery
179987522,31205356,2,78710-1,2509,Cardiology Prog note,Progress note,Find,Pt,{Setting},Doc,Cardiovascular disease
180162016,31205356,2,97570-6,2510,Cardio+Pulm disease Prog note,Progress note,Find,Pt,{Setting},Doc,Cardiovascular disease+Pulmonary disease
179897204,31205356,2,68646-9,2511,Child+teen psych Prog note,Progress note,Find,Pt,{Setting},Doc,Child and adolescent psychiatry
179332554,31205356,2,101037-0,2512,Chiropody Prog note,Progress note,Find,Pt,{Setting},Doc,Chiropody
179529805,31205356,2,28580-9,2513,Chiropractic med Prog note,Progress note,Find,Pt,{Setting},Doc,Chiropractic medicine
180134101,31205356,2,94518-8,2514,Electrophysiology Prog note,Progress note,Find,Pt,{Setting},Doc,Clinical cardiac electrophysiology
179897355,31205356,2,68659-2,2515,Clinical genetics Prog note,Progress note,Find,Pt,{Setting},Doc,Clinical genetics
180006202,31205356,2,80665-3,2516,Clinical Neurophys Prog note,Progress note,Find,Pt,{Setting},Doc,Clinical neurophysiology
180095717,31205356,2,90011-8,2517,Clin Path Prog note,Progress note,Find,Pt,{Setting},Doc,Clinical pathology
180162078,31205356,2,97575-5,2518,Col+rec surg Prog note,Progress note,Find,Pt,{Setting},Doc,Colon and rectal surgery
179529658,31205356,2,28569-2,2519,Consultant Prog note,Progress note,Find,Pt,{Setting},Doc,Consultant
179530092,31205356,2,28617-9,2520,Dentistry Prog note,Progress note,Find,Pt,{Setting},Doc,Dentistry
179983455,31205356,2,78326-6,2521,Dermatology Prog note,Progress note,Find,Pt,{Setting},Doc,Dermatology
179897463,31205356,2,68668-3,2522,Develop-behav peds Prog note,Progress note,Find,Pt,{Setting},Doc,Developmental-behavioral pediatrics
180139796,31205356,2,95134-3,2523,Dialy+Ther Apher Prog note,Progress note,Find,Pt,{Setting},Doc,Dialysis+Therapeutic apheresis
180162043,31205356,2,97572-2,2524,Eating disorders Prog note,Progress note,Find,Pt,{Setting},Doc,Eating disorders
179983459,31205356,2,78327-4,2525,Endocrinology Prog note,Progress note,Find,Pt,{Setting},Doc,Endocrinology
179983434,31205356,2,78324-1,2526,Fam Med Prog note,Progress note,Find,Pt,{Setting},Doc,Family medicine
179983414,31205356,2,78323-3,2527,Gastroenterology Prog note,Progress note,Find,Pt,{Setting},Doc,Gastroenterology
179588533,31205356,2,34900-1,2528,General medicine Prog note,Progress note,Find,Pt,{Setting},Doc,General medicine
180007867,31205356,2,80815-4,2529,Geri med Prog note,Progress note,Find,Pt,{Setting},Doc,Geriatric medicine
180093386,31205356,2,89802-3,2530,Gyn Onc Prog note,Progress note,Find,Pt,{Setting},Doc,Gynecologic oncology
180087818,31205356,2,89224-0,2531,Gynecology Prog note,Progress note,Find,Pt,{Setting},Doc,Gynecology
180128105,31205356,2,93900-9,2532,Navigator Prog note,Progress note,Find,Pt,{Setting},Doc,Healthcare navigator
180101961,31205356,2,90772-5,2533,Heart failure Prog note,Progress note,Find,Pt,{Setting},Doc,Heart failure
180162118,31205356,2,97577-1,2534,HF+TC Prog note,Progress note,Find,Pt,{Setting},Doc,Heart failure+Transplant cardiology
179983478,31205356,2,78328-2,2535,Hematology Prog note,Progress note,Find,Pt,{Setting},Doc,Hematology
179896079,31205356,2,68554-5,2536,HemOnc Prog note,Progress note,Find,Pt,{Setting},Doc,Hematology+Medical oncology
180150482,31205356,2,96338-9,2537,Hepatology Prog note,Progress note,Find,Pt,{Setting},Doc,Hepatology
179332667,31205356,2,101046-1,2538,Hospitalist Prog note,Progress note,Find,Pt,{Setting},Doc,Hospitalist
180144993,31205356,2,95746-4,2539,Immunology Prog note,Progress note,Find,Pt,{Setting},Doc,Immunology
179983436,31205356,2,78325-8,2540,Infectious disease Prog note,Progress note,Find,Pt,{Setting},Doc,Infectious disease
179332552,31205356,2,101036-2,2541,Integrative medicine Prog note,Progress note,Find,Pt,{Setting},Doc,Integrative medicine
179340346,31205356,2,101898-5,2542,Interdiscip Prog note,Progress note,Find,Pt,{Setting},Doc,Interdisciplinary
180162127,31205356,2,97578-9,2543,Internal Med Prog note,Progress note,Find,Pt,{Setting},Doc,Internal medicine
180163350,31205356,2,97691-0,2544,IC Prog note,Progress note,Find,Pt,{Setting},Doc,Interventional cardiology
179931312,31205356,2,72556-4,2545,IR Prog note,Progress note,Find,Pt,{Setting},Doc,Interventional radiology
179340315,31205356,2,101895-1,2546,Kinesiotherapy Prog note,Progress note,Find,Pt,{Setting},Doc,Kinesiotherapy
180128064,31205356,2,93897-7,2547,Mat fetal med Prog note,Progress note,Find,Pt,{Setting},Doc,Maternal and fetal medicine
180136518,31205356,2,94749-9,2548,MAiD Prog note,Progress note,Find,Pt,{Setting},Doc,Medical aid in dying
179588576,31205356,2,34904-3,2549,Mental health Prog note,Progress note,Find,Pt,{Setting},Doc,Mental health
179897582,31205356,2,68679-0,2550,Multi-spec prog Prog note,Progress note,Find,Pt,{Setting},Doc,Multi-specialty program
179984949,31205356,2,78479-3,2551,Neo peri med Prog note,Progress note,Find,Pt,{Setting},Doc,Neonatal perinatal medicine
179984964,31205356,2,78480-1,2552,Nephrology Prog note,Progress note,Find,Pt,{Setting},Doc,Nephrology
179897749,31205356,2,68693-1,2553,Neuro surgery Prog note,Progress note,Find,Pt,{Setting},Doc,Neurological surgery
179955738,31205356,2,75221-2,2554,Neurology Prog note,Progress note,Find,Pt,{Setting},Doc,Neurology
179897864,31205356,2,68703-8,2555,Child neuro Prog note,Progress note,Find,Pt,{Setting},Doc,Neurology w special qualifications in child neuro
179530153,31205356,2,28623-7,2556,Nurse Prog note,Progress note,Find,Pt,{Setting},Doc,Nurse
179529740,31205356,2,28575-9,2557,Nurse pract Prog note,Progress note,Find,Pt,{Setting},Doc,Nurse practitioner
179984971,31205356,2,78481-9,2558,Nutr+diet Prog note,Progress note,Find,Pt,{Setting},Doc,Nutrition and dietetics
180087930,31205356,2,89233-1,2559,OB Prog note,Progress note,Find,Pt,{Setting},Doc,Obstetrics
179896186,31205356,2,68564-4,2560,OBGYN Prog note,Progress note,Find,Pt,{Setting},Doc,Obstetrics and Gynecology
179340276,31205356,2,101892-8,2561,Occup med Prog note,Progress note,Find,Pt,{Setting},Doc,Occupational medicine
179368868,31205356,2,11507-1,2562,OT Prog note,Progress note,Find,Pt,{Setting},Doc,Occupational therapy
179984985,31205356,2,78482-7,2563,Oncology Prog note,Progress note,Find,Pt,{Setting},Doc,Oncology
179896313,31205356,2,68574-3,2564,Ophthalmol Prog note,Progress note,Find,Pt,{Setting},Doc,Ophthalmology
179987033,31205356,2,78667-3,2565,Optometry Prog note,Progress note,Find,Pt,{Setting},Doc,Optometry
180150536,31205356,2,96342-1,2566,OMS Prog note,Progress note,Find,Pt,{Setting},Doc,Oral and maxillofacial surgery
179896401,31205356,2,68582-6,2567,Orthopaedic surgery Prog note,Progress note,Find,Pt,{Setting},Doc,Orthopaedic surgery
180162141,31205356,2,97579-7,2568,Orthotics prosthetics Prog note,Progress note,Find,Pt,{Setting},Doc,Orthotics prosthetics
179340363,31205356,2,101899-3,2569,Osteopathic med Prog note,Progress note,Find,Pt,{Setting},Doc,Osteopathic medicine
179987057,31205356,2,78669-9,2570,Otolaryngology Prog note,Progress note,Find,Pt,{Setting},Doc,Otolaryngology
179987048,31205356,2,78668-1,2571,Pain medicine Prog note,Progress note,Find,Pt,{Setting},Doc,Pain medicine
179986982,31205356,2,78663-2,2572,Palliative care Prog note,Progress note,Find,Pt,{Setting},Doc,Palliative care
180006276,31205356,2,80671-1,2573,Pastoral Care Prog note,Progress note,Find,Pt,{Setting},Doc,Pastoral care
179898121,31205356,2,68725-1,2574,Peds cardiology Prog note,Progress note,Find,Pt,{Setting},Doc,Pediatric cardiology
179900050,31205356,2,68891-1,2575,Peds dermatology Prog note,Progress note,Find,Pt,{Setting},Doc,Pediatric dermatology
179900122,31205356,2,68896-0,2576,Peds endocrinology Prog note,Progress note,Find,Pt,{Setting},Doc,Pediatric endocrinology
179898347,31205356,2,68744-2,2577,Peds gastroenterology Prog note,Progress note,Find,Pt,{Setting},Doc,Pediatric gastroenterology
179898480,31205356,2,68755-8,2578,Peds hem-onc Prog note,Progress note,Find,Pt,{Setting},Doc,Pediatric hematology-oncology
179898573,31205356,2,68763-2,2579,Peds infect disease Prog note,Progress note,Find,Pt,{Setting},Doc,Pediatric infectious diseases
179899846,31205356,2,68873-9,2580,Peds otolaryngology Prog note,Progress note,Find,Pt,{Setting},Doc,Pediatric otolaryngology
179898817,31205356,2,68785-5,2581,Peds pulmonology Prog note,Progress note,Find,Pt,{Setting},Doc,Pediatric pulmonology
179899915,31205356,2,68878-8,2582,Peds rheumatology Prog note,Progress note,Find,Pt,{Setting},Doc,Pediatric rheumatology
179898989,31205356,2,68800-2,2583,Peds surgery Prog note,Progress note,Find,Pt,{Setting},Doc,Pediatric surgery
179899702,31205356,2,68862-2,2584,Peds transpl hepato Prog note,Progress note,Find,Pt,{Setting},Doc,Pediatric transplant hepatology
179899110,31205356,2,68810-1,2585,Peds urology Prog note,Progress note,Find,Pt,{Setting},Doc,Pediatric urology
180095645,31205356,2,90007-6,2586,Pharmacogenomics Prog note,Progress note,Find,Pt,{Setting},Doc,Pharmacogenomics
180005289,31205356,2,80569-7,2587,Pharmacology Prog note,Progress note,Find,Pt,{Setting},Doc,Pharmacology
180086285,31205356,2,89030-1,2588,PM+R Prog note,Progress note,Find,Pt,{Setting},Doc,Physical medicine and rehab
179368871,31205356,2,11508-9,2589,PT Prog note,Progress note,Find,Pt,{Setting},Doc,Physical therapy
179896548,31205356,2,68595-8,2590,Plastic surgery Prog note,Progress note,Find,Pt,{Setting},Doc,Plastic surgery
179368891,31205356,2,11509-7,2591,Podiatry Prog note,Progress note,Find,Pt,{Setting},Doc,Podiatry
179530199,31205356,2,28627-8,2592,Psychiatric Prog note,Progress note,Find,Pt,{Setting},Doc,Psychiatry
179368903,31205356,2,11510-5,2593,Psych Prog note,Progress note,Find,Pt,{Setting},Doc,Psychology
180007915,31205356,2,80819-6,2594,Pulmonary disease Prog note,Progress note,Find,Pt,{Setting},Doc,Pulmonary disease
179987003,31205356,2,78665-7,2595,Radiation Onc Prog note,Progress note,Find,Pt,{Setting},Doc,Radiation oncology
180162150,31205356,2,97580-5,2596,Radiology Prog note,Progress note,Find,Pt,{Setting},Doc,Radiology
180093537,31205356,2,89813-0,2597,Rapid response team Prog note,Progress note,Find,Pt,{Setting},Doc,Rapid response team
179986990,31205356,2,78664-0,2598,Rec therapy Prog note,Progress note,Find,Pt,{Setting},Doc,Recreational therapy
180021885,31205356,2,82365-8,2599,REI Prog note,Progress note,Find,Pt,{Setting},Doc,Reproductive endocrinology and infertility
179899438,31205356,2,68840-8,2600,Research Prog note,Progress note,Find,Pt,{Setting},Doc,Research
179987015,31205356,2,78666-5,2601,Rheumatology Prog note,Progress note,Find,Pt,{Setting},Doc,Rheumatology
180150630,31205356,2,96350-4,2602,Sleep med Prog note,Progress note,Find,Pt,{Setting},Doc,Sleep medicine
179530450,31205356,2,28656-7,2603,SW Prog note,Progress note,Find,Pt,{Setting},Doc,Social worker
180133548,31205356,2,94466-0,2604,Solid Org Transplant Prog note,Progress note,Find,Pt,{Setting},Doc,Solid organ transplant
179368919,31205356,2,11512-1,2605,Speech-lang path Prog note,Progress note,Find,Pt,{Setting},Doc,Speech-language pathology
180162066,31205356,2,97574-8,2606,Spinal surgery Prog note,Progress note,Find,Pt,{Setting},Doc,Spinal surgery
179987459,31205356,2,78705-1,2607,Sports medicine Prog note,Progress note,Find,Pt,{Setting},Doc,Sports medicine
180162098,31205356,2,97576-3,2608,Hand Surgery Prog note,Progress note,Find,Pt,{Setting},Doc,Surgery of the hand
180102967,31205356,2,90876-4,2609,Thromboemb Prog note,Progress note,Find,Pt,{Setting},Doc,Thromboembolism
180093572,31205356,2,89816-3,2610,Trauma Prog note,Progress note,Find,Pt,{Setting},Doc,Trauma
179955735,31205356,2,75220-4,2611,Urology Prog note,Progress note,Find,Pt,{Setting},Doc,Urology
